ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HL744450,11/19/2005 01:30:00 PM,076XX S LUELLA AVE,0880,THEFT,PURSE-SNATCHING,STREET,false,false,0414,,7,,06,,,,,
,HM557726,11/19/2005 01:00:00 AM,003XX N ELIZABETH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1212,,27,,07,,,,,
,HL744475,11/19/2005 01:50:00 PM,119XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0532,,9,,06,,,,,
,HM758510,11/19/2005 02:52:00 AM,003XX E 75TH ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,false,true,0323,,6,,14,,,,,
,HL744219,11/19/2005 12:03:00 PM,066XX S EVANS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0321,,20,,18,,,,,
,HS295734,11/19/2005 12:01:00 AM,002XX S RIVERSIDE PLZ,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,true,false,0111,,2,,06,,,,,
,HL743631,11/19/2005 01:25:00 AM,070XX S CLYDE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0331,,5,,26,1191430,1858666,,41.767180416,-87.573882016
,HL743645,11/19/2005 01:46:00 AM,016XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1433,,1,,14,1164989,1910715,,41.910607916,-87.669324106
,HL743799,11/19/2005 02:00:00 AM,068XX S ELIZABETH ST,0810,THEFT,OVER $500,STREET,false,false,0724,,17,,06,1169171,1859367,,41.769614405,-87.655449842
,HL743787,11/19/2005 01:30:00 AM,020XX W WEBSTER AVE,0460,BATTERY,SIMPLE,STREET,false,false,1432,,32,,08B,1162480,1914621,,41.921379179,-87.678431655
,HL743830,11/19/2005 03:45:00 AM,008XX N MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,DEPARTMENT STORE,false,false,1833,,42,,05,1177311,1905834,,41.896943556,-87.624206307
,HL743647,11/19/2005 12:56:00 AM,063XX W 56TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",true,false,0811,,23,,26,1135110,1866750,,41.79054357,-87.780130326
,HL743864,11/19/2005 12:00:00 AM,107XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0513,,9,,14,1180482,1833834,,41.699296692,-87.614770417
,HL743788,11/19/2005 04:56:09 AM,059XX W CHICAGO AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,true,1511,,29,,08B,1136633,1904728,,41.894733978,-87.773638244
,HL743646,11/19/2005 01:53:12 AM,092XX S LOOMIS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2222,,21,,14,1168620,1843445,,41.725934138,-87.657927681
,HL743992,11/19/2005 08:00:00 AM,033XX N MARSHFIELD AVE,0890,THEFT,FROM BUILDING,SPORTS ARENA/STADIUM,false,false,1924,,44,,06,1164729,1922247,,41.942257928,-87.669951491
,HL744014,11/19/2005 12:15:00 AM,020XX W PIERCE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1424,,1,,06,1162497,1910238,,41.909351567,-87.678492154
,HL743509,11/19/2005 12:05:10 AM,015XX N WELLS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,1821,,27,,14,1174422,1910563,,41.909985204,-87.634675587
,HL743736,11/19/2005 12:18:00 AM,009XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,true,false,1813,,32,,14,1169789,1910846,,41.910864065,-87.651686957
,HL743794,11/19/2005 04:30:00 AM,050XX W ADDISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1634,,38,,14,1142226,1923467,,41.946053813,-87.752630394
,HL743969,11/19/2005 12:00:00 AM,009XX W WEED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1822,,32,,07,1169814,1910460,,41.909804314,-87.651606387
,HL744049,11/19/2005 09:55:00 AM,013XX N HOYNE AVE,0810,THEFT,OVER $500,STREET,false,false,1424,,1,,06,1162162,1908777,,41.905349487,-87.679763688
,HL743823,11/19/2005 04:55:00 AM,033XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1134,,24,,08B,1154303,1896174,,41.870926294,-87.708969318
,HL744165,11/19/2005 09:00:00 AM,009XX N HUDSON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1823,,27,,26,1172995,1906897,,41.899957283,-87.640026603
,HL744312,11/19/2005 10:00:00 AM,015XX N KILDARE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2534,,37,,07,1147435,1909748,,41.90830917,-87.733836227
,HL744435,11/19/2005 12:30:00 AM,038XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0211,,3,,07,1177828,1879596,,41.824933076,-87.623104662
,HL744419,11/19/2005 01:50:00 PM,016XX N LAMON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2533,,37,,18,1143239,1910601,,41.910729334,-87.749229063
,HL744341,11/19/2005 01:30:00 AM,058XX N CLARK ST,0810,THEFT,OVER $500,STREET,false,false,2012,,40,,06,1164643,1938969,,41.988145603,-87.669791608
,HL744207,11/19/2005 11:00:00 AM,028XX W ADAMS ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1124,,2,,26,1157501,1898897,,41.878334044,-87.697154184
,HL744262,11/19/2005 09:30:00 AM,031XX W LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1713,,33,,07,1154423,1931720,,41.968465075,-87.707576498
,HL743641,11/19/2005 01:25:00 AM,062XX S VERNON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,0313,,20,,26,1180321,1863823,,41.78159369,-87.61444264
,HL744658,11/19/2005 03:50:00 PM,034XX W BELDEN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,true,false,1413,,26,,18,1153139,1915079,,41.922826594,-87.712740749
,HL744717,11/19/2005 03:30:00 PM,057XX W NORTH AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),PARKING LOT/GARAGE(NON.RESID.),true,false,2531,,29,,18,1137991,1910060,,41.909341218,-87.768521678
,HL744892,11/19/2005 05:45:00 PM,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1834,,42,,06,1177314,1904704,,41.893842714,-87.62422959
,HL744887,11/19/2005 01:00:00 PM,011XX E 60TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2133,,20,,14,1184533,1865447,,41.785952417,-87.598949778
,HL744261,11/19/2005 11:36:00 AM,071XX S DORCHESTER AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,VACANT LOT/LAND,true,false,0324,,5,,15,1186770,1858042,,41.765579744,-87.590982331
,HL744600,11/19/2005 01:30:00 PM,014XX E 66TH PL,0560,ASSAULT,SIMPLE,OTHER,false,true,0321,,5,,08A,1186839,1861188,,41.774211009,-87.590629853
,HL744984,11/19/2005 07:10:00 PM,078XX S HERMITAGE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0611,,17,,26,1166040,1852805,,41.751674522,-87.667112995
,HL745136,11/19/2005 07:00:00 PM,095XX S LOOMIS ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2213,,21,,26,1168706,1841372,,41.720243663,-87.657672256
,HL745176,11/19/2005 08:50:00 PM,018XX N CLYBOURN AVE,0890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,false,false,1811,,32,,06,1169186,1911997,,41.914035604,-87.653868654
,HL745288,11/19/2005 07:30:00 PM,014XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1324,,27,,07,1166333,1904781,,41.89429596,-87.66455671
,HL745277,11/19/2005 09:15:00 PM,016XX N CENTRAL PARK AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,2535,,26,,26,1152124,1910594,,41.910539451,-87.716588726
,HL745282,11/19/2005 10:30:00 PM,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1833,,42,,06,1177338,1906181,,41.897895128,-87.624096605
,HL745338,11/19/2005 11:13:00 PM,017XX N MOZART ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1421,,1,,18,1157150,1911571,,41.913119765,-87.698098432
,HL745465,11/19/2005 12:30:00 PM,068XX S PRAIRIE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0322,,20,,26,1179218,1859816,,41.770623308,-87.618608559
,HL745488,11/19/2005 03:00:00 PM,0000X N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0113,,42,,14,1175530,1900649,,41.882755842,-87.630903466
,HL744996,11/19/2005 07:20:00 PM,028XX W 59TH ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,0824,,16,,03,1158266,1865393,,41.786379521,-87.695259035
,HL744948,11/19/2005 06:35:00 PM,063XX S KEDZIE AVE,0330,ROBBERY,AGGRAVATED,ALLEY,false,false,0823,,15,,03,1156138,1862630,,41.778840516,-87.703135682
,HL745171,11/19/2005 09:00:00 PM,030XX N KENMORE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1932,,44,,03,1168748,1920452,,41.937246069,-87.655232136
,HL745200,11/19/2005 06:42:00 PM,056XX S ROCKWELL ST,0620,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",false,false,0824,,16,,05,1160001,1867170,,41.791220341,-87.688848758
,HL745037,11/19/2005 07:47:00 PM,028XX N CLYBOURN AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,1913,,1,,26,1162212,1918901,,41.933129385,-87.6792964
,HL744939,11/19/2005 06:25:00 PM,076XX S CICERO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,true,0833,,13,,08B,1145727,1853720,,41.754592961,-87.741528537
