COLUMN NAME,COMMENTS
CONTACT_CARD_ID,"Unique ID for the ISR version record - If there have been any revisions of the ISR, there can be multiple CONTACT_CARD_ID values per CARD_NO"
CONTACT_TYPE_CD,"This field contains the Contact Type
 CD                DESCRIPTION
 INVSTG        Investigatory Stop
 GANGLTR     Gang and Narcotics-Related Loitering"
CARD_NO,"Unique identifying number for each ISR - If the ISR has any revisions, there will be multipel rows in this data set with the same CARD_NO and differentiated by the CONTACT_CARD_ID"
CONTACT_DATE,This field contains the Date the stop occurred. Ex: 01-JAN-08   
CONTACT_HOUR,"This field contains the Hour of the day the stop occurred. Ex: 00, 01, 14, 23  "
SUBMITTING_BEAT_CD,"This field contains the CPD Beat that submitted the ISR. Ex: 0124, 1831, 2411  "
JUVENILE_I,This field indicates if the Suspect is a Juvenile  
CLOTHING_DESCR,This field contains a description of the Suspect's clothing  
NAME_VERIFIED_I,"This field indicates if the Suspect's name has been verified by an ID (drivers license, state id, etc). MUST contain a value of Y or N.  "
RD_NO,"This field contains the RD (Records Division) Number of a related case. Ex: HJ016827, HX000769"
HOTSPOT_NO,"This field contains the Gang / Narcotic Hotspot number set by the department after analysis of gang and crime activity. Ex: 14-005-2&3-001, VZ1, 16422.  "
EVENT_NO,"This field contains the Event Number. Ex: 1429401480, 01310.  "
MISSION_NO,This field contains the specific directed or daily Mission Number assigned by district Supervisors  
CPD_UNIT_NO,This field contains the CPD Unit number of the Officer(s) that conducted the stop
CREATED_BY,This field contains the anonymized unique ID of the user who created the record  
CREATED_DATE,This field contains the date the record was created  
MODIFIED_BY,This field contains the anonymized unique ID of the User who modified the record  
MODIFIED_DATE,This field contains the date the record was modified  
AGE,"This field contains the Suspect's Age. Ex: 1, 22, 101  "
AGE_TO,"This field contains the Suspect's approximate maximum Age. Ex: 28, 65   "
SEX_CODE_CD,"This field contains the Suspect's Sex Code
 Code    Description
 F           FEMALE
 M         MALE
 X          UNKNOWN"
RACE_CODE_CD,"This field contains the Suspect's Race Code
 Code    Description
 BLK        BLACK
 WHI      WHITE
 API        ASIAN/PACIFIC ISLANDER
 WBH     BLACK HISPANIC
 WWH   WHITE HISPANIC
 I             AMER IND/ALASKAN NATIVE
 U           UNKNOWN"
HEIGHT,"This field contains the Suspect's Height. Ex: 0, 511, 704  "
WEIGHT,"This field contains the Suspect's Weight. Ex: 2, 234, 607  "
BUILD_CODE_CD,"This field contains the Suspect's Build Type Code
 Code    Description
 SLN       SLENDER
 MED     MEDIUM
 HEA      HEAVY
 XXX      UNKNOWN
 INF       INFANT"
EYE_COLOR_CODE_CD,"This field contains the Suspect's Eye Color Code
 Code    Description
 BLK       BLACK
 BLU       BLUE
 BRO      BROWN
 GRN      GREEN
 GRY       GRAY
 HAZ       HAZEL
 MAR     MAROON
 MUL     MULTICOLOR
 PNK      PINK
 XXX      UNKNOWN"
HAIR_COLOR_CODE_CD,"This field contains the Suspect's Hair Color Code
 Code    Description
 BLK        BLACK
 BLN        BLOND/STRAWBERRY
 BRO       BROWN
 GRY       GREY/PART GREY
 RED       RED/AUBURN
 SDY       SANDY
 WHI     WHITE
 XXX      UNKNOWN"
