ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
11214319,JB129916,01/26/2018 02:49:00 AM,033XX W 25TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1024,010,12,30,04B,1154589,1887196,10/25/2018 04:10:05 PM,41.846283939,-87.708159311
11424289,JB406326,01/26/2018 12:01:00 AM,035XX S MICHIGAN AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,POLICE FACILITY/VEH PARKING LOT,false,false,0213,002,3,35,26,1177772,1881665,08/29/2018 03:59:35 PM,41.830611847,-87.623247369
11421328,JB398544,01/26/2018 01:30:00 PM,020XX W 63RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,false,false,0714,007,15,67,26,1163887,1862857,08/29/2018 03:59:35 PM,41.779304087,-87.67472071
11214663,JB130390,01/26/2018 10:00:00 AM,049XX N MC VICKER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,1622,016,45,11,05,1134862,1932522,08/07/2018 03:57:58 PM,41.97103535,-87.779483304
11288471,JB135150,01/26/2018 09:00:00 AM,044XX S DREXEL BLVD,2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,SIDEWALK,true,false,0221,002,4,39,18,1182937,1875833,07/28/2018 03:46:32 PM,41.814489708,-87.604478527
11388371,JB360392,01/26/2018 10:14:00 AM,035XX W 81ST PL,0820,THEFT,$500 AND UNDER,STREET,false,false,0834,008,18,70,06,1154226,1850323,07/25/2018 03:53:11 PM,41.745106378,-87.710471994
11215227,JB131165,01/26/2018 11:09:00 PM,050XX W SUPERIOR ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),false,false,1531,015,28,25,26,1142633,1904503,07/21/2018 03:46:48 PM,41.894007033,-87.751607225
11214708,JB130190,01/26/2018 10:07:00 AM,011XX W WILSON AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,true,false,1913,019,46,3,15,1167963,1930704,07/11/2018 03:52:51 PM,41.965394976,-87.657820148
11214675,JB130145,01/26/2018 10:07:00 AM,011XX W WILSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1913,019,46,3,14,1167822,1930700,07/11/2018 03:52:51 PM,41.965387049,-87.658338686
11215175,JB130696,01/26/2018 02:46:00 PM,013XX S KOLIN AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,true,true,1011,010,24,29,20,1147596,1893450,05/23/2018 04:00:19 PM,41.863582538,-87.73366317
11297240,JB239812,01/26/2018 12:00:00 AM,077XX S SOUTH SHORE DR,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,APARTMENT,true,false,0421,004,7,43,26,1197240,1854764,05/22/2018 04:05:33 PM,41.756330319,-87.552716204
11241168,JB130550,01/26/2018 02:52:00 PM,055XX S DAMEN AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,0715,007,15,67,18,1163972,1867858,05/17/2018 03:51:16 PM,41.793025689,-87.674268552
11300815,JB244515,01/26/2018 10:00:00 PM,044XX N WHIPPLE ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,1724,017,33,14,02,1155250,1929338,05/04/2018 03:51:04 PM,41.961912111,-87.704599916
11280432,JB216870,01/26/2018 10:20:00 AM,072XX S COTTAGE GROVE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,false,false,0323,003,6,69,11,1182815,1857081,05/04/2018 03:51:04 PM,41.763035416,-87.605508321
11280419,JB216874,01/26/2018 09:45:00 AM,072XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,0323,003,6,69,06,1182815,1857081,05/04/2018 03:51:04 PM,41.763035416,-87.605508321
11253797,JB182800,01/26/2018 12:00:00 PM,008XX W 63RD ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,BANK,false,false,0723,007,20,68,10,1171886,1863079,05/04/2018 03:51:04 PM,41.77974142,-87.645389036
11252194,JB130366,01/26/2018 10:00:00 AM,054XX S JUSTINE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,false,false,0934,009,16,61,11,1166930,1868630,05/04/2018 03:51:04 PM,41.795081408,-87.663399816
11249722,JB177437,01/26/2018 01:00:00 AM,005XX S LOCKWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1522,015,29,25,11,1141095,1897064,05/04/2018 03:51:04 PM,41.873621962,-87.757439225
11248707,JB176126,01/26/2018 12:01:00 AM,055XX S WOODLAWN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,false,false,0235,002,5,41,11,1185168,1868516,05/04/2018 03:51:04 PM,41.794359096,-87.596525155
11242698,JB168007,01/26/2018 10:40:00 PM,004XX N COLUMBUS DR,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,1834,018,42,8,03,1178398,1903425,05/04/2018 03:51:04 PM,41.890308425,-87.620287505
11243203,JB130335,01/26/2018 12:06:00 PM,062XX S ARTESIAN AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,0825,008,15,66,18,1161110,1863210,05/04/2018 03:51:04 PM,41.780330681,-87.684891779
11243197,JB130339,01/26/2018 10:52:31 AM,083XX S INGLESIDE AVE,2027,NARCOTICS,POSS: CRACK,APARTMENT,true,false,0632,006,8,44,18,1184005,1849931,05/04/2018 03:51:04 PM,41.743387373,-87.60136976
11243171,JB130500,01/26/2018 02:34:00 PM,110XX S STATE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,0513,005,9,49,18,1178219,1831594,05/04/2018 03:51:04 PM,41.693201325,-87.62312409
11243166,JB130534,01/26/2018 01:30:00 PM,050XX S JUSTINE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,true,false,0933,009,16,61,18,1166860,1871209,05/04/2018 03:51:04 PM,41.802159983,-87.663582821
11243162,JB131054,01/26/2018 07:30:28 PM,017XX W 71ST ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,0735,007,17,67,18,1165801,1857609,05/04/2018 03:51:04 PM,41.76486244,-87.667852637
11242490,JB166327,01/26/2018 01:00:00 AM,004XX N MORGAN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,TAXICAB,true,false,1214,012,27,24,11,1169701,1902952,05/04/2018 03:51:04 PM,41.889204359,-87.652240467
11237889,JB161408,01/26/2018 12:50:00 PM,001XX N HARBOR DR,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0114,001,42,32,11,1179650,1901417,05/04/2018 03:51:04 PM,41.884769738,-87.615751308
11233234,JB155474,01/26/2018 05:30:00 PM,057XX S HOMAN AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0822,008,14,63,08B,1154693,1866342,05/04/2018 03:51:04 PM,41.789055732,-87.708334303
11232565,JB154435,01/26/2018 10:00:00 AM,064XX N WESTERN AVE,1120,DECEPTIVE PRACTICE,FORGERY,OTHER,false,false,2412,024,50,2,10,1159148,1942612,05/04/2018 03:51:04 PM,41.998257179,-87.689902004
11231240,JB152809,01/26/2018 06:00:00 PM,006XX W OHIO ST,0810,THEFT,OVER $500,STREET,false,false,1214,012,27,24,06,1171529,1904087,05/04/2018 03:51:04 PM,41.892278859,-87.645493951
11230985,JB152477,01/26/2018 03:00:00 AM,011XX N LAVERGNE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,1531,015,37,25,20,1142821,1907169,05/04/2018 03:51:04 PM,41.901319345,-87.750850275
11230287,JB151544,01/26/2018 06:00:00 PM,055XX S OAKLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,0824,008,16,63,14,1162063,1867831,05/04/2018 03:51:04 PM,41.792991544,-87.681269424
